"TT","MaxValue","log_MaxValue","TT_numeric"
"TT_1",0.0595250544356324,-2.82135797210929,1
"TT_2",0.0595250544356324,-2.82135797210929,2
"TT_3",0.0595250544356324,-2.82135797210929,3
"TT_4",0.0595250544356324,-2.82135797210929,4
"TT_5",0.0595250544356324,-2.82135797210929,5
"TT_6",0.0595250544356324,-2.82135797210929,6
"TT_7",0.0595250544356324,-2.82135797210929,7
"TT_8",0.0595250544356324,-2.82135797210929,8
"TT_9",0.0595250544356324,-2.82135797210929,9
"TT_10",0.0595250544356324,-2.82135797210929,10
"TT_11",0.0595250544356324,-2.82135797210929,11
"TT_12",0.0595250544356324,-2.82135797210929,12
"TT_13",0.346262706828005,-1.06055752373373,13
"TT_14",0.128903293675729,-2.04869281718557,14
"TT_15",0.0946358964456406,-2.35771841987124,15
"TT_16",0.0830080449636291,-2.48881774861004,16
"TT_17",0.371861841641224,-0.989232887130185,17
"TT_18",0.245570310842659,-1.40417197420736,18
"TT_19",0.0977024959461546,-2.32582817321617,19
"TT_20",0.0810861201577572,-2.51224347729492,20
"TT_21",0.076008964650173,-2.57690398972873,21
"TT_22",0.0728434410456241,-2.61944278408501,22
"TT_23",0.0706831661763374,-2.64954783660388,23
"TT_24",0.0691163176243577,-2.67196443101607,24
"TT_25",0.0679287866239899,-2.68929537809082,25
"TT_26",0.0669982721261117,-2.70308844908623,26
"TT_27",0.0662498624894642,-2.71432188974869,27
"TT_28",0.0656351259285171,-2.72364427011023,28
"TT_29",0.065121370720322,-2.73150250836439,29
"TT_30",0.0646857379675193,-2.7382145350429,30
"TT_31",0.0643117675441621,-2.74401265446478,31
"TT_32",0.196725592495763,-1.62594545276864,32
"TT_33",0.245570224059424,-1.40417232760207,33
"TT_34",0.157044687940329,-1.85122487757252,34
"TT_35",0.0887015780304797,-2.42247759917683,35
"TT_36",0.0801712524669508,-2.52359027641053,36
"TT_37",0.0754636783740819,-2.5841038196218,37
"TT_38",0.0724821829193469,-2.62441450016028,38
"TT_39",0.268429063463826,-1.31516859560449,39
"TT_40",0.102981520969109,-2.27320571491496,40
"TT_41",0.0827156950534022,-2.49234591196744,41
"TT_42",0.0753154199040875,-2.58607038553801,42
"TT_43",0.0714658589310058,-2.63853544078884,43
"TT_44",0.0691074719152518,-2.67209242214043,44
"TT_45",0.0675160397518948,-2.69539008337823,45
"TT_46",0.0663708186482907,-2.71249779728698,46
"TT_47",0.450901905648997,-0.796505467241125,47
"TT_48",0.218865974653731,-1.51929572438916,48
"TT_49",0.125815296200836,-2.07294035068584,49
"TT_50",0.101532112416401,-2.28738015205071,50
"TT_51",0.0901897256118431,-2.40583976514374,51
"TT_52",0.0836190988535565,-2.48148332979731,52
"TT_53",1.43505175447041,0.361200914394263,53
"TT_54",0.376295462233791,-0.97738064036114,54
"TT_55",0.22267966727683,-1.50202100984421,55
"TT_56",0.169276947606657,-1.77621916209897,56
"TT_57",0.178876649897238,-1.7210588174039,57
"TT_58",0.349641372886727,-1.05084729870529,58
"TT_59",0.159056487002883,-1.8384958756842,59
"TT_60",0.10642082195115,-2.24035402619077,60
"TT_61",0.100451477450837,-2.29808047950843,61
"TT_62",0.0958064793562774,-2.34542496209327,62
"TT_63",0.254778352020844,-1.36736131956522,63
"TT_64",0.134263181517878,-2.00795336406022,64
"TT_65",0.0913732246431373,-2.39280279045102,65
"TT_66",0.084385030626754,-2.47236525535302,66
"TT_67",0.0825543408454529,-2.49429852555935,67
"TT_68",0.0955989242748742,-2.34759371134296,68
"TT_69",0.34388307788145,-1.0674535692639,69
"TT_70",0.113401399741582,-2.17682154436447,70
"TT_71",0.0911484871001259,-2.39526537590935,71
"TT_72",0.245608771225516,-1.40401536988792,72
"TT_73",0.150517774795523,-1.8936740968134,73
"TT_74",0.103387294125197,-2.26927320525908,74
"TT_75",0.0903094062750651,-2.40451365703995,75
"TT_76",0.083696246895749,-2.48056114244726,76
"TT_77",0.0795926996117183,-2.53083290375836,77
"TT_78",0.076759485491,-2.5670783106921,78
"TT_79",0.300956856920746,-1.20078835699556,79
"TT_80",0.150025397324206,-1.89695068372343,80
"TT_81",0.136896212280103,-1.98853221485645,81
"TT_82",0.0911199780894017,-2.39557820030196,82
"TT_83",0.0836807602909254,-2.48074619301218,83
"TT_84",0.0805819003437131,-2.51848121617966,84
"TT_85",0.386884630514569,-0.949628742762136,85
"TT_86",0.136592936919592,-1.990750039481,86
"TT_87",0.0994448336115624,-2.3081522246388,87
"TT_88",0.0866069806667696,-2.4463748585011,88
"TT_89",0.0800605449618473,-2.52497211852297,89
"TT_90",0.0760905060462389,-2.57583177818842,90
"TT_91",0.0734270931431933,-2.61146229507608,91
"TT_92",0.0716047871492429,-2.63659334762425,92
"TT_93",0.459205821976294,-0.778256755537348,93
"TT_94",0.415843519629774,-0.877446244220932,94
"TT_95",0.274040701464108,-1.29447863813641,95
"TT_96",0.305499568682198,-1.18580691221372,96
"TT_97",0.233463903407495,-1.4547278030846,97
"TT_98",0.117843695032425,-2.13839615096816,98
"TT_99",0.0949739556757521,-2.35415257574935,99
"TT_100",0.0849238361029362,-2.46600047002868,100
"TT_101",0.0810466403862776,-2.51273048278508,101
"TT_102",0.0784452160201322,-2.54535478292279,102
"TT_103",0.0763948121749817,-2.57184048858403,103
"TT_104",0.346695244364374,-1.059309143246,104
"TT_105",0.163821912299562,-1.80897534178761,105
"TT_106",0.105923928743177,-2.24503409587277,106
"TT_107",0.940679562129235,-0.0611527264768449,107
"TT_108",1.70903728434054,0.535930220361562,108
"TT_109",0.456290790403014,-0.784624974458658,109
"TT_110",0.292099164645429,-1.23066192941646,110
"TT_111",0.223703808954857,-1.49743238356415,111
"TT_112",0.297477931618334,-1.21241523618205,112
"TT_113",0.197873018759997,-1.6201297734148,113
"TT_114",0.146081361952705,-1.92359153884443,114
"TT_115",0.362853292139882,-1.0137566802941,115
"TT_116",0.34135180531467,-1.07484164638225,116
"TT_117",0.201513397888038,-1.60189940904632,117
"TT_118",0.408075266658854,-0.896303644486749,118
"TT_119",0.203082836280137,-1.5941413226811,119
"TT_120",0.301320151154263,-1.19958195438444,120
"TT_121",0.35312894549647,-1.0409220040565,121
"TT_122",0.124832566506754,-2.08078190751488,122
"TT_123",0.353409320711509,-1.04012834504845,123
"TT_124",0.151280376331775,-1.88862036698448,124
"TT_125",0.127124910075334,-2.06258513198567,125
"TT_126",0.339800852860499,-1.07939555985782,126
"TT_127",0.137838778567651,-1.98167054803467,127
"TT_128",0.104404192456847,-2.25948544670726,128
"TT_129",0.100647250796025,-2.29613344176491,129
"TT_130",0.0976136713963634,-2.32673771959037,130
"TT_131",0.0950841728988014,-2.35299274916123,131
"TT_132",1.78560709565063,0.579758467015638,132
"TT_133",0.501318323930023,-0.690514002558011,133
